Country,Abreviation,Capital_City,Continent
Afghanistan,AFG,Kabul,Asia
Albania,ALB,Tirana,Europe
Algeria,DZA,Algiers,Africa
Andorra,AND,Andorra la Vella,Europe
Angola,AGO,Luanda,Africa
Antigua and Barbuda,ATG,St. John's,N. America
Argentina,ARG,Buenos Aires,S. America
Armenia,ARM,Yerevan,Asia
Australia,AUS,Canberra,Australia
Austria,AUT,Vienna,Europe
Azerbaijan,AZE,Baku,Asia
Bahamas,BHS,Nassau,N. America
Bahrain,BHR,Manama,Asia
Bangladesh,BGD,Dhaka,Asia
Barbados,BRB,Bridgetown,N. America
Belarus,BLR,Minsk,Europe
Belgium,BEL,Brussels,Europe
Belize,BLZ,Belmopan,N. America
Benin,BEN,Porto-Novo,Africa
Bhutan,BTN,Thimphu,Asia
Bolivia,BOL,La Paz,S. America
Bosnia and Herzegovina,BIH,Sarajevo,Europe
Botswana,BWA,Gaborone,Africa
Brazil,BRA,Brasília,S. America
Brunei,BRN,Bandar Seri Begawan,Asia
Bulgaria,BGR,Sofia,Europe
Burkina Faso,BFA,Ouagadougou,Africa
Burundi,BDI,Gitega,Africa
Cabo Verde,CPV,Praia,Africa
Cambodia,KHM,Phnom Penh,Asia
Cameroon,CMR,Yaoundé,Africa
Canada,CAN,Ottawa,N. America
Central African Republic,CAF,Bangui,Africa
Chad,TCD,N'Djamena,Africa
Chile,CHL,Santiago,S. America
China,CHN,Beijing,Asia
Colombia,COL,Bogotá,S. America
Comoros,COM,Moroni,Africa
Congo,COG,Brazzaville,Africa
Costa Rica,CRI,San José,N. America
Côte d'Ivoire,CIV,Yamoussoukro,Africa
Croatia,HRV,Zagreb,Europe
Cuba,CUB,Havana,N. America
Cyprus,CYP,Nicosia,Asia
Czech Republic (Czechia),CZE,Prague,Europe
Denmark,DNK,Copenhagen,Europe
Djibouti,DJI,Djibouti,Africa
Dominica,DMA,Roseau,N. America
Dominican Republic,DOM,Santo Domingo,N. America
DR Congo,COD,Kinshasa,Africa
Ecuador,ECU,Quito,S. America
Egypt,EGY,Cairo,Africa
El Salvador,SLV,San Salvador,N. America
Equatorial Guinea,GNQ,Malabo,Africa
Eritrea,ERI,Asmara,Africa
Estonia,EST,Tallinn,Europe
Eswatini,SWZ,Mbabane,Africa
Ethiopia,ETH,Addis Ababa,Africa
Fiji,FJI,Suva,Australia
Finland,FIN,Helsinki,Europe
France,FRA,Paris,Europe
Gabon,GAB,Libreville,Africa
Gambia,GMB,Banjul,Africa
Georgia,GEO,Tbilisi,Asia
Germany,DEU,Berlin,Europe
Ghana,GHA,Accra,Africa
Greece,GRC,Athens,Europe
Grenada,GRD,St. George's,N. America
Guatemala,GTM,Guatemala City,N. America
Guinea,GIN,Conakry,Africa
Guinea-Bissau,GNB,Bissau,Africa
Guyana,GUY,Georgetown,S. America
Haiti,HTI,Port-au-Prince,N. America
Holy See,VAT,Vatican City,Europe
Honduras,HND,Tegucigalpa,N. America
Hungary,HUN,Budapest,Europe
Iceland,ISL,Reykjavik,Europe
India,IND,New Delhi,Asia
Indonesia,IDN,Jakarta,Asia
Iran,IRN,Tehran,Asia
Iraq,IRQ,Baghdad,Asia
Ireland,IRL,Dublin,Europe
Israel,ISR,Jerusalem,Asia
Italy,ITA,Rome,Europe
Jamaica,JAM,Kingston,N. America
Japan,JPN,Tokyo,Asia
Jordan,JOR,Amman,Asia
Kazakhstan,KAZ,Nur-Sultan,Asia
Kenya,KEN,Nairobi,Africa
Kiribati,KIR,South Tarawa,Australia
Kuwait,KWT,Kuwait City,Asia
Kyrgyzstan,KGZ,Bishkek,Asia
Laos,LAO,Vientiane,Asia
Latvia,LVA,Riga,Europe
Lebanon,LBN,Beirut,Asia
Lesotho,LSO,Maseru,Africa
Liberia,LBR,Monrovia,Africa
Libya,LBY,Tripoli,Africa
Liechtenstein,LIE,Vaduz,Europe
Lithuania,LTU,Vilnius,Europe
Luxembourg,LUX,Luxembourg City,Europe
Madagascar,MDG,Antananarivo,Africa
Malawi,MWI,Lilongwe,Africa
Malaysia,MYS,Kuala Lumpur,Asia
Maldives,MDV,Male,Asia
Mali,MLI,Bamako,Africa
Malta,MLT,Valletta,Europe
Marshall Islands,MHL,Majuro,Australia
Mauritania,MRT,Nouakchott,Africa
Mauritius,MUS,Port Louis,Africa
Mexico,MEX,Mexico City,N. America
Micronesia,FSM,Palikir,Australia
Moldova,MDA,Chisinau,Europe
Monaco,MCO,Monaco,Europe
Mongolia,MNG,Ulaanbaatar,Asia
Montenegro,MNE,Podgorica,Europe
Morocco,MAR,Rabat,Africa
Mozambique,MOZ,Maputo,Africa
Myanmar,MMR,Naypyidaw,Asia
Namibia,NAM,Windhoek,Africa
Nauru,NRU,Yaren District,Australia
Nepal,NPL,Kathmandu,Asia
Netherlands,NLD,Amsterdam,Europe
New Zealand,NZL,Wellington,Australia
Nicaragua,NIC,Managua,N. America
Niger,NER,Niamey,Africa
Nigeria,NGA,Abuja,Africa
North Korea,PRK,Pyongyang,Asia
North Macedonia,MKD,Skopje,Europe
Norway,NOR,Oslo,Europe
Oman,OMN,Muscat,Asia
Pakistan,PAK,Islamabad,Asia
Palau,PLW,Ngerulmud,Australia
Panama,PAN,Panama City,N. America
Papua New Guinea,PNG,Port Moresby,Australia
Paraguay,PRY,Asunción,S. America
Peru,PER,Lima,S. America
Philippines,PHL,Manila,Asia
Poland,POL,Warsaw,Europe
Portugal,PRT,Lisbon,Europe
Qatar,QAT,Doha,Asia
Romania,ROM,Bucharest,Europe
Russia,RUS,Moscow,Europe
Rwanda,RWA,Kigali,Africa
Saint Kitts & Nevis,KNA,Basseterre,N. America
Saint Lucia,LCA,Castries,N. America
Samoa,WSM,Apia,Australia
San Marino,SMR,San Marino,Europe
Sao Tome & Principe,STP,São Tomé,Africa
Saudi Arabia,SAU,Riyadh,Asia
Senegal,SEN,Dakar,Africa
Serbia,SRB,Belgrade,Europe
Seychelles,SYC,Victoria,Africa
Sierra Leone,SLE,Freetown,Africa
Singapore,SGP,Singapore,Asia
Slovakia,SVK,Bratislava,Europe
Slovenia,SVN,Ljubljana,Europe
Solomon Islands,SLB,Honiara,Australia
Somalia,SOM,Mogadishu,Africa
South Africa,ZAF,Cape Town,Africa
South Korea,KOR,Seoul,Asia
South Sudan,SSD,Juba,Africa
Spain,ESP,Madrid,Europe
Sri Lanka,LKA,Sri Jayawardenepura Kotte,Asia
St. Vincent & Grenadines,VCT,Kingstown,N. America
State of Palestine,PSE,Ramallah,Asia
Sudan,SDN,Khartoum,Africa
Suriname,SUR,Paramaribo,S. America
Sweden,SWE,Stockholm,Europe
Switzerland,CHE,Bern,Europe
Syria,SYR,Damascus,Asia
Tajikistan,TJK,Dushanbe,Asia
Tanzania,TZA,Dodoma,Africa
Thailand,THA,Bangkok,Asia
Timor-Leste,TLS,Dili,Asia
Togo,TGO,Lomé,Africa
Tonga,TON,Nuku'alofa,Australia
Trinidad and Tobago,TTO,Port of Spain,N. America
Tunisia,TUN,Tunis,Africa
Turkey,TUR,Ankara,Asia
Turkmenistan,TKM,Ashgabat,Asia
Tuvalu,TUV,Funafuti,Australia
Uganda,UGA,Kampala,Africa
Ukraine,UKR,Kyiv,Europe
United Arab Emirates,ARE,Abu Dhabi,Asia
United Kingdom,GBR,London,Europe
United States,USA,Washington DC,N. America
Uruguay,URY,Montevideo,S. America
Uzbekistan,UZB,Tashkent,Asia
Vanuatu,VUT,Port Vila,Australia
Venezuela,VEN,Caracas,S. America
Vietnam,VNM,Hanoi,Asia
Yemen,YEM,Sana'a,Asia
Zambia,ZMB,Lusaka,Africa
Zimbabwe,ZWE,Harare,Africa
