Genus,3-Letter Code
Achnanthes  ,ACH
Achnanthidium  ,ACM
Actinella  ,ACA
Actinocyclus  ,ACT
Adlafia   ,ADL
Amphicampa   ,AMC
Amphipleura  ,AMP
Amphora  ,AMA
Aneumastus  ,ANE
Anomoeoneis  ,ANO
Asterionella  ,AST
Aulacoseira  ,AUL
Bacillaria  ,BAC
Biremis  ,BIR
Boreozonacola  ,BOR
Brachysira  ,BRA
Brebissonia  ,BRE
Brevisira,BRV
Caloneis  ,CAL
Campylodiscus  ,CAM
Capartogramma  ,CAP
Cavinula  ,CAV
Chaetoceros   ,CHS
Chamaepinnularia  ,CHA
Cocconeis  ,COC
Cosmioneis  ,COS
Craticula  ,CRA
Ctenophora  ,CTE
Cyclostephanos  ,CYS
Cyclotella  ,CYC
Cylindrotheca   ,CYL
Cymatopleura  ,CYP
Cymbella  ,CYM
Cymbopleura  ,CMB
Decussata  ,DCA
Delicata   ,DEL
Denticula  ,DEN
Diadesmis  ,DIE
Diatoma  ,DIA
Diatomella  ,DIM
Didymosphenia  ,DID
Diploneis  ,DIP
Discostella  ,DIS
Distrionella  ,DSR
Ellerbeckia  ,ELL
Encyonema  ,ENC
Encyonopsis  ,ENS
Entomoneis  ,ENT
Eolimna   ,EOL
Epithemia  ,EPI
Eucocconeis  ,EUC
Eunotia  ,EUN
Fallacia  ,FAL
Fistulifera   ,FIS
Fragilaria  ,FRA
Fragilariforma  ,FRM
Frickea,FRI
Frustulia  ,FRU
Geissleria  ,GEI
Genkalia   ,GEN
Gomphoneis  ,GMA
Gomphonema  ,GOM
Gomphosinica  ,GMS
Gomphosphenia  ,GMP
Grunowia,GRU
Gyrosigma  ,GYR
Halamphora  ,HAL
Hannaea  ,HAN
Hantzschia   ,HNZ
Hippodonta  ,HIP
Humidophila  ,HUM
Hydrosera   ,HYD
Hygropetra  ,HYG
Karayevia  ,KAR
Kobayasiella  ,KOB
Krasskella  ,KRA
Kurtkrammeria  ,KUR
Lacustriella,LAC
Lemnicola  ,LEM
Lindavia  ,LIN
Luticola  ,LUT
Mastogloia  ,MAS
Mayamaea   ,MYA
Melosira  ,MEL
Meridion  ,MER
Microcostatus  ,MIC
Muelleria  ,MUE
Navicula  ,NAV
Neidiomorpha  ,NEM
Neidiopsis  ,NEI
Neidium  ,NED
Nitzschia  ,NIT
Nupela  ,NUP
Odontidium,ODT
Orthoseira   ,ORT
Oxyneis,OXY
Parlibellus  ,PAR
Peronia   ,PER
Pinnularia  ,PIN
Placoneis  ,PLC
Plagiotropis  ,PLG
Planothidium  ,PLA
Platessa  ,PLT
Playaensis  ,PLY
Pleurosigma   ,PLR
Pleurosira  ,PLE
Prestauroneis  ,PRE
Psammothidium  ,PSA
Pseudofallacia  ,PSF
Pseudostaurosira  ,PSE
Reimeria  ,REI
Rexlowea  ,REX
Rhoicosphenia  ,RHO
Rhopalodia  ,RHP
Rossithidium  ,ROS
Scoliopleura   ,SCO
Sellaphora  ,SEL
Semiorbis   ,SEM
Simonsenia  ,SIM
Skeletonema   ,SKE
Spicaticribra  ,SPI
Stauroforma  ,STF
Stauroneis  ,STS
Staurophora  ,STP
Staurosira  ,STA
Staurosirella  ,STL
Stenopterobia   ,STE
Stephanocyclus   ,STY
Stephanodiscus  ,STD
Surirella  ,SUR
Synedra  ,SYN
Tabellaria  ,TAB
Tabularia  ,TBL
Terpsinoë  ,TER
Tetracyclus  ,TET
Thalassiosira  ,THA
Tryblionella  ,TRY
Ulnaria  ,ULN
Urosolenia   ,URO
Unknown,UNK
